Position X,Position Y,Position Z,Rotation X
-1.447222,0.7397714,-1.077765,79.46328
-1.446911,0.739249,-1.077683,79.5215
-1.446853,0.7391715,-1.07768,79.50497
-1.446875,0.7391496,-1.077701,79.47881
-1.447317,0.7394998,-1.077728,79.38596
-1.447367,0.7388449,-1.077575,79.3338
-1.447182,0.7383652,-1.077603,79.30933
-1.447373,0.7389493,-1.077602,79.31403
-1.447698,0.7383537,-1.077255,79.26927
-1.447857,0.7382166,-1.077221,79.27083
-1.448641,0.7378762,-1.077242,79.24509
-1.448432,0.738344,-1.077472,79.14156
-1.448697,0.738004,-1.077429,79.0094
-1.448909,0.7375195,-1.077621,78.74992
-1.449066,0.7380083,-1.077703,78.68224
-1.449484,0.7372897,-1.077532,78.65102
-1.449564,0.7370927,-1.077488,78.65639
-1.449403,0.7370965,-1.077367,78.66716
-1.449447,0.7369766,-1.077318,78.66217
-1.449797,0.7365651,-1.077147,78.67507
-1.449803,0.7364902,-1.077072,78.6595
-1.449854,0.7364023,-1.076983,78.66737
-1.449824,0.7368898,-1.077039,78.67344
-1.450012,0.7363789,-1.076963,78.61446
-1.449732,0.7361298,-1.077012,78.6048
-1.449891,0.7362578,-1.077015,78.59549
-1.449942,0.7362037,-1.077017,78.59097
-1.449851,0.7360837,-1.076857,78.56156
-1.449914,0.7360711,-1.076861,78.53358
-1.450043,0.7360175,-1.076849,78.47941
-1.450101,0.7359951,-1.076828,78.44381
-1.450213,0.7359316,-1.076811,78.37422
-1.450264,0.7358892,-1.076814,78.34566
-1.450251,0.7357411,-1.07689,78.30211
-1.450257,0.7356849,-1.076907,78.31728
-1.450216,0.7360108,-1.076731,78.33392
-1.450504,0.7355616,-1.076728,78.32907
-1.450353,0.7355368,-1.076863,78.30428
-1.450389,0.7359083,-1.076791,78.32152
-1.450434,0.7354193,-1.076682,78.34308
-1.450204,0.7353644,-1.076667,78.32712
-1.45031,0.7356358,-1.076632,78.33051
-1.450352,0.7356029,-1.076641,78.32967
-1.450493,0.735167,-1.076687,78.31728
-1.4503,0.7352388,-1.076646,78.3071
-1.450414,0.7357473,-1.076634,78.30602
-1.450429,0.7352598,-1.076601,78.24159
-1.450073,0.7351749,-1.07656,78.2179
-1.450455,0.7353001,-1.076366,78.22478
-1.450112,0.7355912,-1.076509,78.22355
-1.450497,0.7353578,-1.07647,78.24934
-1.45019,0.7351518,-1.076416,78.25865
-1.450354,0.7355046,-1.07642,78.25033
-1.450464,0.735523,-1.076403,78.20461
-1.450611,0.7351668,-1.07646,78.17212
-1.450114,0.734916,-1.076649,78.14507
-1.450495,0.7353227,-1.076551,78.18164
-1.450747,0.7354207,-1.076437,78.16045
-1.450534,0.7350636,-1.076419,78.11567
-1.450796,0.7350714,-1.076339,78.10804
-1.450859,0.7351983,-1.076423,78.09724
-1.450716,0.7354596,-1.076382,78.10823
-1.45074,0.7349687,-1.076353,78.08404
-1.450699,0.734957,-1.076412,78.04272
-1.450917,0.7354038,-1.076316,78.03204
-1.450936,0.7354116,-1.076308,78.03274
-1.450775,0.7347188,-1.07644,78.03383
-1.450486,0.7347269,-1.076499,78.04304
-1.450509,0.7353733,-1.076399,78.04896
-1.450535,0.7347779,-1.076348,78.05293
-1.450529,0.7349083,-1.076354,78.02877
-1.450531,0.73489,-1.076344,78.00602
-1.450516,0.734787,-1.076319,77.96715
